"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2021046125","4","4","0008","0081","0","S","2","35","FIFTH AV","2","3","02"
"2021052778","5","5","2068","0010","1418","N","2","45","NAVY MARINE CORP WY","2","3","02"
"2021100993","4","3","","","","W","04","35","LIBERTY AV","4","","02"
"2021042579","4","4","4003","0131","0","S","3","50","MCKNIGHT RD","2","3","02"
"2021033912","3","3","0837","0310","740","N","2","35","DUQUESNE BL","2","3","02"
"2021116009","3","3","1028","0150","2481","B","2","40","MILLERSTOWN RD","2","3","02"
"2021070278","3","3","","","","S","02","25","RIPPEY ST","4","","02"
"2021026184","3","3","0837","0220","2118","W","2","40","WASHINGTON ST","2","3","02"
"2021070612","3","3","0019","0660","1040","N","2","40","PERRY HW","2","3","02"
"2021009926","4","6","H193","0050","0","E","2","35","ARLINGTON AV","4","3","02"
"2021016759","3","3","2033","0010","900","U","2","40","MCCLINTOCK RD","2","3","02"
"2021067770","3","3","","","","E","03","25","BEECHWOOD BL","4","","02"
"2021100975","3","3","2108","0150","855","N","2","25","SOUTH DALLAS AV","2","3","02"
"2021010361","3","4","","","","N","02","25","S DALLAS AV","4","","02"
"2021045312","3","3","","","","N","04","25","VILLAGE RUN RD","4","","02"
"2021091627","3","3","0079","0714","1428","N","3","55","RAYMOND P SHAFER HW","1","1","02"
"2021127580","3","4","","","","E","02","25","GREENWOOD AV","4","","02"
"2021059619","3","3","0065","0040","2385","N","2","55","OHIO RIVER BL","2","3","02"
"2021025239","3","3","4003","0060","0","N","3","40","MCKNIGHT RD","2","3","02"
"2021059221","4","3","","","","E","02","25","PENN AV","4","","02"
"2021021692","4","4","","","","W","02","35","THORN HILL RD","4","","02"
"2021070670","3","3","0400","0140","819","B","2","25","BENNETT ST","2","3","02"
"2021087559","4","4","0019","0601","2970","S","2","40","PERRY HW","2","3","02"
"2021100160","3","4","","","","N","02","25","PIONEER AV","4","","02"
"2021065171","3","3","4003","0150","1845","N","2","50","MCKNIGHT RD","2","3","02"
"2021070745","3","4","","","","N","01","25","GROTTO ST","4","","02"
"2021063675","5","5","","","","W","04","25","MCARDLE RD","4","","02"
"2021013158","3","3","","","","W","02","25","WALLACE RD","4","","02"
"2021035656","3","3","0376","0601","117","W","2","40","PENN LINCOLN PY","1","1","02"
"2021077446","4","4","","","","E","02","","AR 858970D RR","7","","02"
"2021009728","3","3","0019","0610","625","N","3","40","PERRY HW","2","3","02"
"2021008270","3","4","","","","E","02","25","BOGGS AV","4","","02"
"2021025905","3","3","2074","0030","2144","E","2","35","HULTON RD","2","3","02"
"2021080719","3","4","","","","E","02","25","21ST ST","4","","02"
"2021027688","3","3","0028","0031","1619","S","2","35","EAST OHIO ST","2","1","02"
"2021072238","3","3","","","","W","02","25","WOODLAND RD","4","","02"
"2021080624","4","5","","","","U","02","25","E CARSON ST","4","","02"
"2021015433","3","3","","","","N","02","25","LINDEN ST","4","","02"
"2021065160","4","4","","","","N","02","35","THOMPSON RUN RD","4","","02"
"2021120330","3","3","0028","0141","1096","S","2","45","ETNA BP","2","1","02"
"2021121659","5","5","","","","N","02","25","DIX DR","4","","02"
